Date;Open;High;Low;Close;Volume;
2008-04-04;531.56;533.00;531.56;533.00;1.58K;
2008-04-07;541.42;542.33;541.37;542.33;7.55K;
2008-04-08;550.68;550.68;544.29;548.56;26.85K;
2008-04-09;552.42;552.42;550.03;552.05;11.03K;
2008-04-10;549.17;549.17;543.88;545.73;10.10K;
2008-04-11;537.71;539.01;536.97;539.01;9.26K;
2008-04-16;530.90;531.73;530.04;531.38;6.43K;
2008-04-17;523.52;537.58;523.45;537.58;14.09K;
2008-04-18;540.08;540.08;534.51;537.31;10.84K;
2008-04-21;534.62;534.92;532.52;534.92;7.72K;
2008-04-22;530.26;530.62;528.60;530.62;5.34K;
2008-04-23;523.60;523.60;521.82;521.95;7.46K;
2008-04-24;515.14;518.42;515.02;518.42;7.52K;
2008-04-25;514.37;515.88;513.93;515.88;7.33K;
2008-04-28;514.79;519.62;514.44;519.42;9.77K;
2008-04-29;523.86;524.07;520.41;522.36;10.16K;
2008-05-05;523.29;523.75;521.28;521.28;6.24K;
2008-05-06;518.21;518.35;516.21;518.35;7.40K;
2008-05-07;514.66;515.26;510.94;515.26;6.75K;
2008-05-08;507.31;507.94;506.43;507.94;5.43K;
2008-05-09;499.59;500.33;499.42;500.33;3.51K;
2008-05-12;492.95;493.27;492.04;492.04;2.76K;
2008-05-13;484.77;484.77;483.92;483.92;1.34K;
2008-05-14;477.29;477.29;475.50;475.50;1.93K;
2008-05-15;468.56;468.56;466.67;466.67;2.66K;
2008-05-16;459.62;461.96;459.37;460.04;9.14K;
2008-05-19;453.93;455.67;453.45;455.67;6.61K;
2008-05-20;450.03;450.38;448.94;449.24;6.33K;
2008-05-21;442.47;442.47;441.53;441.75;5.22K;
2008-05-22;435.64;435.73;434.75;434.75;8.13K;
2008-05-23;427.84;428.20;427.53;428.05;4.95K;
2008-05-26;422.48;422.48;420.51;420.51;5.16K;
2008-05-30;413.99;414.14;413.77;414.10;4.72K;
2008-06-02;408.20;408.20;407.32;407.94;10.18K;
2008-06-03;402.39;402.39;401.14;401.20;4.99K;
2008-06-04;395.54;395.66;394.63;395.66;8.99K;
2008-06-05;390.86;390.98;390.06;390.08;5.49K;
2008-06-06;385.18;385.20;384.05;384.24;3.18K;
2008-06-09;380.23;380.23;379.12;379.12;3.01K;
2008-06-10;374.33;374.53;373.00;373.00;3.51K;
2008-06-11;368.06;371.73;367.46;370.45;12.81K;
2008-06-12;368.17;370.55;368.10;370.55;7.68K;
2008-06-13;370.83;373.97;370.83;372.68;12.32K;
2008-06-16;376.23;378.68;376.23;378.20;17.34K;
2008-06-17;384.17;384.72;384.08;384.71;9.68K;
2008-06-18;389.01;389.01;380.09;382.07;24.17K;
2008-06-19;372.80;373.27;371.94;373.27;7.46K;
2008-06-20;364.71;366.04;364.32;366.02;7.87K;
2008-06-23;367.08;369.69;367.00;368.95;10.36K;
2008-06-24;373.00;375.97;372.89;375.97;7.36K;
2008-06-25;382.36;383.78;382.13;383.78;9.31K;
2008-06-26;392.69;392.69;382.32;386.48;15.35K;
2008-06-27;385.21;392.78;383.47;392.61;10.81K;
2008-06-30;395.27;399.40;394.97;399.40;7.97K;
2008-07-01;406.46;409.83;406.44;409.61;9.28K;
2008-07-02;417.78;420.04;417.21;419.29;16.88K;
2008-07-03;428.80;430.13;428.51;430.05;10.78K;
2008-07-04;441.43;441.50;439.68;439.68;11.91K;
2008-07-07;448.49;448.49;431.72;435.89;26.28K;
2008-07-08;427.35;436.71;426.49;436.71;17.11K;
2008-07-09;439.21;440.76;438.72;439.55;17.01K;
2008-07-10;444.26;446.60;443.95;446.60;14.31K;
2008-07-11;453.70;456.64;453.70;456.64;13.58K;
2008-07-14;466.31;467.94;465.39;467.94;10.07K;
2008-07-15;479.62;479.80;478.71;479.80;11.98K;
2008-07-16;486.74;486.74;476.52;486.53;38.67K;
2008-07-17;492.61;493.17;489.83;489.83;16.08K;
2008-07-18;480.09;487.40;480.09;483.05;27.68K;
2008-07-21;472.95;473.45;470.11;470.82;16.15K;
2008-07-22;461.31;461.31;457.88;457.88;2.56K;
2008-07-23;451.17;451.17;445.59;445.59;2.02K;
2008-07-24;435.73;440.99;434.01;435.79;23.98K;
2008-07-25;428.04;429.46;427.40;429.46;9.23K;
2008-07-28;426.23;434.64;425.94;434.64;16.58K;
2008-07-29;443.45;445.12;443.45;444.40;15.82K;
2008-07-30;448.39;448.81;442.83;448.27;21.13K;
2008-07-31;447.42;451.36;444.94;451.36;14.08K;
2008-08-01;447.37;449.86;446.48;447.11;12.39K;
2008-08-04;439.49;440.52;438.17;439.41;12.54K;
2008-08-05;429.78;430.26;428.63;430.26;10.52K;
2008-08-06;431.43;437.45;431.43;437.45;16.67K;
2008-08-07;446.85;446.87;438.83;438.83;17.70K;
2008-08-08;441.79;444.29;438.82;444.28;14.91K;
2008-08-11;454.87;455.08;454.04;454.80;15.72K;
2008-08-12;464.09;464.62;456.27;459.89;23.09K;
2008-08-13;460.28;465.17;457.31;464.01;21.83K;
2008-08-14;470.14;476.56;469.64;476.50;20.70K;
2008-08-15;488.81;489.18;488.69;488.94;10.62K;
2008-08-18;504.14;508.48;503.65;508.05;18.83K;
2008-08-19;504.14;511.53;503.65;511.53;34.28K;
2008-08-20;497.75;514.95;497.75;508.47;32.39K;
2008-08-21;512.54;525.98;510.69;525.98;25.48K;
2008-08-22;535.99;536.61;526.98;526.98;23.32K;
2008-08-25;544.75;548.72;542.89;548.25;22.65K;
2008-08-26;568.36;569.54;561.67;561.67;20.20K;
2008-08-27;568.91;575.71;561.85;561.85;33.65K;
2008-08-28;549.84;551.30;547.45;547.69;37.14K;
2008-08-29;533.10;539.10;531.37;539.10;33.19K;
2008-09-03;552.60;559.34;552.60;555.14;17.64K;
2008-09-04;556.61;558.62;549.71;558.56;31.51K;
2008-09-05;551.35;553.37;546.66;546.66;22.72K;
2008-09-08;527.84;536.10;526.03;532.71;36.50K;
2008-09-09;532.89;542.96;525.49;525.49;30.08K;
2008-09-10;530.01;530.25;508.69;514.45;28.60K;
2008-09-11;499.03;500.14;496.84;497.01;17.12K;
2008-09-12;477.36;479.45;475.14;476.00;15.28K;
2008-09-15;470.38;493.16;470.38;476.76;32.65K;
2008-09-16;466.16;466.16;455.95;455.95;17.09K;
2008-09-17;436.24;438.79;436.24;437.24;14.45K;
2008-09-18;417.24;419.28;416.88;419.28;12.92K;
2008-09-19;434.14;439.15;434.14;439.06;25.53K;
2008-09-22;459.64;459.87;459.57;459.86;14.33K;
2008-09-23;455.62;474.63;452.76;465.87;39.62K;
2008-09-24;461.19;465.62;454.55;455.05;14.39K;
2008-09-25;459.06;470.43;459.06;470.43;18.08K;
2008-09-26;490.26;490.26;475.60;483.81;22.35K;
2008-09-29;476.72;487.24;472.42;479.00;18.94K;
2008-09-30;457.26;457.26;456.58;456.70;4.73K;
2008-10-01;463.26;464.36;448.03;454.41;19.83K;
2008-10-02;466.11;466.93;454.17;460.25;15.66K;
2008-10-03;449.44;456.56;449.44;452.14;12.31K;
2008-10-06;436.70;437.37;432.12;433.71;14.84K;
2008-10-07;413.63;415.12;413.63;414.24;10.70K;
2008-10-08;397.20;402.37;396.88;401.33;17.18K;
2008-10-09;389.98;410.01;389.98;397.68;21.42K;
2008-10-10;379.10;381.90;378.66;379.06;16.48K;
2008-10-13;377.77;381.07;371.40;371.67;13.69K;
2008-10-14;381.94;389.33;381.94;389.33;9.13K;
2008-10-15;399.86;399.86;388.29;397.15;26.62K;
2008-10-16;380.44;388.42;380.44;384.61;18.40K;
2008-10-17;385.77;386.06;382.03;382.51;11.69K;
2008-10-20;377.20;377.99;370.75;370.80;12.89K;
2008-10-21;379.53;379.94;373.56;379.94;16.99K;
