Date;Open;High;Low;Close;Volume
01/08/2013;21,155.0;21,223.0;21,135.0;21,130.0;
02/08/2013;21,135.0;21,223.0;21,120.0;21,110.0;
05/08/2013;21,130.0;21,140.0;21,115.0;21,080.0;
06/08/2013;21,092.5;21,100.0;21,050.0;21,060.0;
07/08/2013;21,095.0;21,095.0;21,060.0;21,040.0;
08/08/2013;21,095.0;21,115.0;21,095.0;21,070.0;
09/08/2013;21,102.5;21,110.0;21,090.0;21,070.0;
12/08/2013;21,105.0;21,115.0;21,090.0;21,075.0;
13/08/2013;21,100.0;21,110.0;21,090.0;21,070.0;
14/08/2013;21,095.0;21,110.0;21,087.5;21,070.0;
15/08/2013;21,097.5;21,110.0;21,087.5;21,070.0;
16/08/2013;21,097.5;21,105.0;21,090.0;21,075.0;
19/08/2013;21,097.5;21,110.0;21,090.0;21,070.0;
20/08/2013;21,097.5;21,107.5;21,085.0;21,070.0;
21/08/2013;21,100.0;21,107.5;21,085.0;21,070.0;
22/08/2013;21,097.5;21,155.0;21,090.0;21,110.0;
23/08/2013;21,190.0;21,223.0;21,140.0;21,120.0;
26/08/2013;21,135.0;21,180.0;21,100.0;21,140.0;
27/08/2013;21,160.0;21,175.0;21,135.0;21,130.0;
28/08/2013;21,160.0;21,223.0;21,135.0;21,100.0;
29/08/2013;21,162.5;21,180.0;21,135.0;21,120.0;
30/08/2013;21,160.0;21,170.0;21,140.0;21,120.0;
02/09/2013;21,120.0;21,120.0;21,120.0;21,120.0;
03/09/2013;21,150.0;21,170.0;21,140.0;21,120.0;
04/09/2013;21,160.0;21,180.0;21,140.0;21,140.0;
05/09/2013;21,155.0;21,180.0;21,142.5;21,120.0;
06/09/2013;21,145.0;21,170.0;21,135.0;21,120.0;
09/09/2013;21,140.0;21,165.0;21,120.0;21,100.0;
10/09/2013;21,120.0;21,160.0;21,112.5;21,080.0;
11/09/2013;21,115.0;21,165.0;21,096.0;21,110.0;
12/09/2013;21,117.5;21,125.0;21,105.0;21,080.0;
13/09/2013;21,115.0;21,130.0;21,105.0;21,080.0;
16/09/2013;21,125.0;21,135.0;21,115.0;21,090.0;
17/09/2013;21,125.0;21,130.0;21,112.5;21,090.0;
18/09/2013;21,130.0;21,145.0;21,120.0;21,110.0;
19/09/2013;21,135.0;21,145.0;21,110.0;21,100.0;
20/09/2013;21,125.0;21,132.5;21,090.0;21,080.0;
23/09/2013;21,120.0;21,130.0;21,100.0;21,080.0;
24/09/2013;21,115.0;21,130.0;21,095.0;21,090.0;
25/09/2013;21,110.0;21,130.0;21,095.0;21,090.0;
26/09/2013;21,120.0;21,130.0;21,100.0;21,090.0;
27/09/2013;21,120.0;21,141.0;21,087.5;21,112.0;
30/09/2013;21,115.0;21,141.0;21,086.5;21,112.0;
01/10/2013;21,112.5;21,130.0;21,095.0;21,090.0;
02/10/2013;21,115.0;21,141.5;21,087.5;21,090.0;
03/10/2013;21,115.0;21,132.5;21,097.5;21,090.0;
04/10/2013;21,115.0;21,130.0;21,100.0;21,090.0;
07/10/2013;21,112.5;21,130.0;21,095.0;21,090.0;
08/10/2013;21,112.5;21,130.0;21,095.0;21,090.0;
09/10/2013;21,110.0;21,125.0;21,090.0;21,090.0;
10/10/2013;21,097.5;21,120.0;21,087.5;21,075.0;
11/10/2013;21,092.5;21,120.0;21,090.0;21,075.0;
14/10/2013;21,100.0;21,120.0;21,090.0;21,080.0;
15/10/2013;21,100.0;21,120.0;21,090.0;21,080.0;
16/10/2013;21,105.0;21,130.0;21,090.0;21,100.0;
17/10/2013;21,115.0;21,130.0;21,097.5;21,090.0;
18/10/2013;21,112.5;21,125.0;21,095.0;21,090.0;
21/10/2013;21,110.0;21,125.0;21,092.5;21,085.0;
22/10/2013;21,102.5;21,125.0;21,090.0;21,080.0;
23/10/2013;21,095.0;21,124.0;21,085.0;21,080.0;
24/10/2013;21,095.0;21,121.5;21,085.0;21,075.0;
25/10/2013;21,097.5;21,121.5;21,085.0;21,080.0;
28/10/2013;21,095.0;21,121.5;21,085.0;21,075.0;
29/10/2013;21,095.0;21,121.5;21,085.0;21,080.0;
30/10/2013;21,097.5;21,121.5;21,087.5;21,080.0;
31/10/2013;21,102.5;21,122.5;21,090.0;21,080.0;
01/11/2013;21,097.5;21,121.5;21,085.0;21,080.0;
04/11/2013;21,100.0;21,125.0;21,085.0;21,080.0;
05/11/2013;21,092.5;21,125.0;21,085.0;21,070.0;
06/11/2013;21,095.0;21,125.0;21,082.5;21,080.0;
07/11/2013;21,095.0;21,121.5;21,085.0;21,080.0;
08/11/2013;21,095.0;21,121.5;21,085.0;21,080.0;
11/11/2013;21,097.5;21,120.0;21,085.0;21,080.0;
12/11/2013;21,095.0;21,121.5;21,085.0;21,080.0;
13/11/2013;21,092.5;21,121.5;21,085.0;21,080.0;
14/11/2013;21,102.5;21,125.0;21,090.0;21,090.0;
15/11/2013;21,100.0;21,123.5;21,090.0;21,080.0;
18/11/2013;21,100.0;21,123.5;21,085.0;21,085.0;
19/11/2013;21,097.5;21,123.5;21,085.0;21,085.0;
20/11/2013;21,097.5;21,122.5;21,085.0;21,080.0;
21/11/2013;21,097.5;21,120.0;21,085.0;21,080.0;
22/11/2013;21,097.5;21,123.5;21,085.0;21,080.0;
25/11/2013;21,097.5;21,122.5;21,087.5;21,080.0;
26/11/2013;21,102.5;21,123.5;21,090.0;21,080.0;
27/11/2013;21,117.5;21,130.0;21,095.0;21,097.0;
28/11/2013;21,117.5;21,130.0;21,095.0;21,090.0;
29/11/2013;21,102.5;21,125.0;21,090.0;21,090.0;
02/12/2013;21,100.0;21,125.0;21,090.0;21,080.0;
03/12/2013;21,107.5;21,130.0;21,092.5;21,100.0;
04/12/2013;21,117.5;21,130.0;21,095.0;21,100.0;
05/12/2013;21,117.5;21,140.0;21,097.5;21,120.0;
06/12/2013;21,142.5;21,165.0;21,107.5;21,120.0;
09/12/2013;21,140.0;21,152.5;21,100.0;21,100.0;
10/12/2013;21,117.5;21,130.0;21,095.0;21,100.0;
11/12/2013;21,112.5;21,127.5;21,095.0;21,090.0;
12/12/2013;21,107.5;21,125.0;21,092.5;21,085.0;
13/12/2013;21,107.5;21,126.0;21,092.5;21,092.0;
16/12/2013;21,110.0;21,127.5;21,092.5;21,090.0;
17/12/2013;21,107.5;21,130.0;21,092.5;21,100.0;
18/12/2013;21,107.5;21,130.0;21,090.0;21,085.0;
19/12/2013;21,100.0;21,122.5;21,090.0;21,085.0;
20/12/2013;21,102.5;21,122.5;21,090.0;21,085.0;
23/12/2013;21,097.5;21,125.0;21,090.0;21,090.0;
24/12/2013;21,092.5;21,121.0;21,085.0;21,082.0;
25/12/2013;21,092.5;21,117.5;21,085.0;21,075.0;
26/12/2013;21,095.0;21,117.5;21,085.0;21,075.0;
27/12/2013;21,092.5;21,117.5;21,085.0;21,070.0;
30/12/2013;21,095.0;21,122.5;21,085.0;21,080.0;
31/12/2013;21,107.5;21,125.0;21,087.5;21,075.0;
01/01/2014;21,075.0;21,075.0;21,075.0;21,075.0;
02/01/2014;21,107.5;21,122.5;21,085.0;21,060.0;
